GyroY,MagZ,AngY,MagX,MagY,AngX,AngZ,AccX,AccY,AccZ,Timestamp,GyroZ,GyroX,Tag
12.20703,-2.533333,-4.921875,14.45833,2.691667,81.21643,-148.3978,-0.009765625,0.9711913999999999,0.1772461,132322,-10.37598,-9.70459,1
3.967285,39.54167,-1.049194,-1.683333,-84.41666,79.46411,-153.1824,0.015136720000000001,1.0,0.15820309999999999,133952,22.94922,0.9155272,1
-14.70947,0.2166667,-5.438232,14.51667,3.291667,79.14551,-151.6882,0.168457,0.8671875,0.40332029999999996,135602,11.65771,1.403809,1
2.319336,30.05833,0.2087402,0.7666666999999999,-81.55833,79.22241,-144.1241,-0.08544922,1.166992,0.2963867,137302,1.953125,5.493164,1
-0.42724609999999996,-2.125,-3.669434,13.375,2.383333,82.15027,-132.2095,0.1577148,0.9882812999999999,0.2202148,139042,-4.02832,1.89209,1
38.08594,21.71667,-2.999268,13.09167,-84.11667,79.16748,-119.9323,-0.04052734,0.8334961,0.02783203,140922,-1.220703,2.929688,1
-5.859375,2.916667,-2.318115,21.54167,8.241667,79.12354,-117.312,0.2109375,1.186523,-0.09521483,142772,-7.568359,8.361816,1
-3.601074,1.158333,-2.39502,20.18333,6.091667,78.73901,-108.2043,0.2045898,1.05127,-0.06982422,144492,2.746582,17.27295,1
5.004883,20.46667,-0.3131104,32.925,-84.53333,78.43689,-85.23193,0.11865229999999999,1.071289,0.39599609999999996,146252,-31.49414,17.21191,1
23.31543,1.291667,-2.8125,18.06667,3.033333,79.93103,-86.01196,-0.199707,1.837891,0.715332,148022,32.10449,-13.30566,1
11.1084,20.36667,-0.5383300999999999,32.94167,-84.475,78.52478,-89.3573,0.004882813000000001,1.103027,0.29443359999999996,149772,-8.483887,-5.737305,1
-18.61572,-1.191667,-3.938599,18.05,3.625,78.16223,-67.04956,-0.3999023,1.175781,0.4082031,151552,40.2832,14.5874,1
15.56396,-0.9833333999999999,-1.2854,14.04167,2.966667,82.46887,-80.93079,-0.0625,1.113281,0.168457,153342,0.4882813,-7.324219,1
