Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,AngX,AngY,AngZ,MagX,MagY,MagZ,Tag
511379,-0.15917969999999998,-0.9306641,-0.2197266,-28.50342,2.502441,11.1084,-102.7277,-1.1920169999999999,-151.3147,47.25,-5.266667,88.225,1
511609,-0.2617188,-0.7822266,-0.1479492,2.685547,15.19775,17.8833,-103.0408,1.389771,-155.1105,-12.33333,-3.575,-0.1083333,-1
511899,0.2416992,-1.588379,-0.1376953,-28.86963,-22.58301,-0.793457,-105.9027,-0.1208496,-152.3199,-16.4,-1.7,-2.508333,-1
512120,0.1308594,-0.8823242,-0.3085938,0.3051758,0.9765625,-13.00049,-109.0558,-5.141602,-149.09,45.73333,-7.433333,93.825,-1
512399,0.12451169999999999,-1.009766,-0.11279299999999999,35.33936,28.25928,24.41406,-102.2443,-2.493896,-152.2266,47.26667,-4.033333,88.00833,-1
512689,-0.16259769999999998,-0.7958984,0.02441406,35.27832,-41.01563,7.69043,-94.50989,1.082153,-151.5399,-19.175,-0.7583333,1.2,-1
512939,0.22900389999999998,-0.2167969,0.3110352,-25.57373,-24.10889,0.9765625,-90.10986,6.157837,-139.3671,5.783333,-9.391666,-24.06667,-1
513209,-0.9594727,-1.611816,0.22558589999999998,60.18066,25.26855,87.03613,-97.27844,5.449219,-158.0328,49.375,-2.541667,77.75833,-1
513509,0.3354492,-0.2104492,-0.2563477,42.3584,-15.25879,-9.643555,-77.01965,-1.115112,-142.9211,-22.40833,11.01667,-53.26667,1
513749,-0.015625,-0.9208984,0.01074219,-22.52197,50.96436,40.22217,-85.12756,2.526855,-135.8954,-5.466667,-4.083333,-12.91667,1
514029,0.024902340000000002,-1.171387,0.07080078000000001,-15.01465,-36.07178,-14.64844,-101.9147,3.823242,-129.1663,52.18333,-6.891667,79.225,1
514310,0.1450195,-0.6171875,-0.1484375,-26.30615,-36.92627,18.49365,-99.59106,5.943604,-116.4825,58.63334,-7.25,74.75833,1
514610,-0.06494141,-0.8823242,-0.1499023,-16.05225,-79.52881000000001,0.1831055,-106.5234,8.289185,-101.9696,64.33334,-10.8,73.76667,1
514979,-0.378418,-0.9775391,-0.048828130000000004,2.441406,-47.72949,-37.78076,-108.4241,5.927124,-86.48987,-23.03333,-6.941667,1.008333,1
515179,0.21337889999999998,-0.7680663999999999,-0.09619141,4.821777,-4.333496,-27.70996,-105.65,5.921631,-70.3894,-13.125,-2.341667,3.0,1
515399,0.1367188,-0.8496094,-0.2744141,27.46582,-51.08643,4.211426,-102.1783,5.284424,-63.20984,-17.13333,-2.683333,0.2333333,1
515609,0.02148438,-0.9501953,-0.1381836,-9.094238,27.16064,6.9580079999999995,-104.6887,8.377075,-58.55713,68.96667,-8.658334,53.31667,1
515849,0.0546875,-0.7880859,-0.21777339999999998,11.35254,-26.97754,5.187988,-104.1339,9.404297,-54.29443,-11.775,-5.541667,2.758333,1
516129,-0.18603519999999998,-0.9677734,-0.2797852,-31.73828,25.93994,-1.953125,-102.9034,5.756836,-53.272710000000004,-26.80833,-2.975,2.55,1
516339,0.09960938,-0.9780272999999999,-0.08300781,24.96338,-48.76709,-8.117676,-104.3262,3.938599,-47.11487,-14.875,-0.8666667,2.158333,1
516559,0.1386719,-0.6899413999999999,-0.2358398,37.10938,-22.70508,25.63477,-99.3219,3.894653,-39.24866,-16.94167,-4.183333,-1.5,1
516830,-0.1962891,-1.26123,-0.2827148,11.04736,29.35791,-0.12207029999999999,-103.0133,6.443481,-37.51282,67.175,-8.175,42.05833,1
517099,-0.1035156,-0.7612304999999999,-0.2348633,9.399414,-17.51709,2.01416,-103.2605,8.041992,-33.68408,-12.0,-5.033333,1.683333,1
517349,-0.011230470000000001,-0.6127929999999999,-0.0625,-11.04736,16.96777,14.09912,-104.1339,4.608765,-25.81238,61.69167,-4.1,36.43333,1
517659,0.128418,-0.8676758,-0.2182617,32.04346,-28.56445,4.394531,-100.9918,2.757568,-15.05676,56.14167,-3.525,29.74167,1
517919,0.2460938,-1.107422,-0.35742189999999996,-26.06201,-5.554199,14.95361,-99.11865,5.894165,-10.45349,-11.69167,2.575,-2.9,1
518159,-0.07275391,-0.8378905999999999,-0.1928711,-12.57324,-1.525879,14.77051,-104.2493,6.097412,-9.794312,55.7,-1.141667,33.11666,1
518479,0.06933594,-1.533691,-0.2348633,-20.93506,-32.65381,-25.32959,-105.3864,2.653198,-10.2832,-20.25,-2.9333329999999997,0.2333333,1
518779,-0.048828130000000004,-0.8320312999999999,-0.22998049999999998,13.30566,22.46094,0.6713867,-103.6505,1.444702,-13.35938,-12.65,-4.333333,2.591667,1
519079,-0.11083979999999999,-1.041016,-0.24511719999999998,-15.44189,19.22607,14.22119,-105.9192,5.696411,-17.40234,-22.99167,-4.325,-3.083333,1
519449,-0.14257809999999999,-0.7451171999999999,-0.3349609,19.34814,34.91211,-20.69092,-105.672,1.576538,-22.39563,58.125,0.5833332999999999,42.925,1
519719,0.3862305,-1.774414,-0.1254883,42.72461,-26.61133,44.92188,-107.2046,-0.2307129,-24.72473,-23.8,-4.191667,4.258333,1
519959,0.1416016,-0.8442383,-0.26269529999999996,11.41357,5.371094,12.26807,-105.1886,0.06591797,-26.92749,59.2,0.31666669999999997,45.425,1
520199,0.21777339999999998,-1.124512,-0.5195313,-35.21729,33.44727,16.23535,-105.3589,3.427734,-30.75073,-15.46667,1.291667,-4.825,1
520449,0.0546875,-1.20459,-0.30126949999999997,-24.23096,-33.38623,3.723145,-106.062,1.906128,-33.52478,-12.95,-3.325,-0.7583333,1
520659,-0.02148438,-0.9199219,-0.24902339999999998,0.6713867,28.38135,-33.5083,-105.6281,1.922607,-36.83167,63.125,-1.608333,52.29167,1
520909,-0.01757813,-0.949707,-0.13525389999999998,-36.37695,24.35303,8.056641,-108.6548,1.345825,-39.55078,-15.61667,-3.175,0.675,1
522289,0.07177734,-0.8110352,-0.23681639999999998,6.896973,21.24023,13.67188,-107.1881,-0.1318359,-48.19702,-13.08333,-4.983333,2.816667,1
522579,0.1791992,-1.045898,-0.4399414,-15.01465,25.02441,8.361816,-106.2653,3.735352,-51.77856,-14.55833,1.975,-1.125,1
522799,-0.2119141,-0.7373046999999999,-0.18945309999999999,-5.92041,26.18408,27.52686,-107.8308,2.911377,-60.32593,-13.06667,-6.183333,1.891667,1
523070,0.009765625,-1.867676,-0.08935547,-5.371094,-34.79004,7.202148,-111.0883,-0.3131104,-65.69275,59.34167,-6.75,73.86667,1
523369,0.1435547,-0.8759766,-0.1303711,-2.319336,62.80518,-2.258301,-108.0505,0.6976317999999999,-68.56018,-14.1,-3.65,1.733333,1
523609,0.07666016,-0.9179687999999999,-0.152832,0.3051758,36.68213,27.40479,-105.3149,2.362061,-80.9198,-21.01667,-6.475,-2.108333,1
523889,-0.12695309999999999,-0.8461913999999999,-0.12695309999999999,-2.380371,27.52686,15.19775,-108.3307,1.049194,-92.54333,50.44167,-10.55833,84.70834,1
524169,-0.1630859,-0.8071288999999999,-0.3867188,27.771,26.06201,-4.333496,-108.6713,2.49939,-97.88818,-16.59167,-4.75,-1.091667,1
524409,-0.35595699999999997,-1.411133,-0.4003906,-12.02393,4.211426,20.44678,-109.1107,1.010742,-98.59131000000001,47.45833,-9.975,84.64167,1
524749,0.07128906,-0.7661133,-0.31054689999999996,10.98633,-11.96289,34.91211,-105.4797,-0.06591797,-98.32214,-18.36667,-9.075,-5.658333,1
524990,-0.02539063,-1.269531,-0.39697269999999996,-0.8544921999999999,17.63916,23.13232,-109.303,0.19775389999999998,-102.8925,47.3,-10.89167,84.75833,1
525229,-0.1420898,-0.715332,-0.2983398,23.37646,8.544922,0.24414059999999999,-109.248,2.823486,-103.8318,-16.08333,-2.95,3.75,1
525470,-0.1796875,-1.401855,-0.3154297,-35.46143,-24.04785,8.239746,-109.9292,1.148071,-102.7936,49.075,-11.10833,85.03333,1
525709,0.0078125,-0.7480469,-0.1987305,15.50293,18.98193,5.371094,-107.0288,-1.5271000000000001,-106.908,-12.94167,-4.841667,2.058333,1
525989,0.06640625,-0.9877929999999999,-0.3789063,-22.33887,-1.525879,4.699707,-106.106,2.686157,-108.891,-20.00833,0.0,1.216667,1
526209,-0.05419922,-1.375488,-0.28613279999999996,3.540039,5.310059,-6.164551,-106.9135,0.44494629999999996,-110.2698,-14.33333,-2.883333,-3.366667,1
